Species_1,Species_2,Distance,Dist *100
353078721,62857328,0.883681,88.3681
38260414,62857328,0.873264,87.3264
38260410,62857328,0.868056,86.8056
38112399,62857328,0.871528,87.1528
38112395,62857328,0.871528,87.1528
156766565,62857328,0.899306,89.9306
156766545,62857328,0.899306,89.9306
156766537,62857328,0.899306,89.9306
156766533,62857328,0.899306,89.9306
156766529,62857328,0.897569,89.7569
156766505,62857328,0.901042,90.1042
149287217,62857328,0.871528,87.1528
21063917,62857328,0.899306,89.9306
21038821,62857328,0.875,87.5
241897474,62857328,0.899306,89.9306
32265024,62857328,0.890625,89.0625
18025358,62857328,0.850694,85.0694
47531122,62857328,0.887153,88.7153
204324151,62857328,0.835069,83.5069
195764992,62857328,0.838542,83.8542
KM052275,62857328,0.823009,82.3009
AY148187,62857328,0.842014,84.2014
M37899,62857328,0.899306,89.9306
KF214742,62857328,0.876736,87.6736
GQ411199,62857328,0.878472,87.8472
62857328,9633607,0.775093,77.5093
9633607,9633607,0,0
6136264,9633607,0.892193,89.2193
138873,9633607,0.888476,88.8476
237642071,9633607,0.732342,73.2342
71658847,9633607,0.89777,89.777
18999349,9633607,0.871747,87.1747
338826805,9633607,0.795539,79.5539
550455635,9633607,0.832323,83.2323
422933778,9633607,0.72119,72.119
56698740,9633607,0.782528,78.2528
33235706,9633607,0.703774,70.3774
23334622,9633607,0.810409,81.0409
23334619,9633607,0.773234,77.3234
401715658,9633607,0.789963,78.9963
389617268,9633607,0.724907,72.4907
378941792,9633607,0.724203,72.4203
817524604,9633607,0.723048,72.3048
6136266,9633607,0.723048,72.3048
6136265,9633607,0.719331,71.9331
726965494,9633607,0.873606,87.3606
726965490,9633607,0.871747,87.1747
726965486,9633607,0.86803,86.803
726965482,9633607,0.871747,87.1747
726965478,9633607,0.871747,87.1747
753220758,9633607,0.888476,88.8476
208429852,9633607,0.881041,88.1041
34447098,9633607,0.719331,71.9331
23334612,9633607,0.817844,81.7844
698029512,9633607,0.79368,79.368
672432742,9633607,0.871747,87.1747
672351302,9633607,0.871747,87.1747
302317864,9633607,0.908922,90.8922
283139266,9633607,0.873606,87.3606
229342012,9633607,0.895911,89.5911
212671461,9633607,0.901487,90.1487
182636909,9633607,0.894052,89.4052
166064279,9633607,0.907063,90.7063
164520995,9633607,0.907063,90.7063
92090662,9633607,0.894052,89.4052
22252953,9633607,0.869888,86.9888
601447521,9633607,0.799257,79.9257
557307522,9633607,0.791822,79.1822
544446249,9633607,0.873606,87.3606
514054828,9633607,0.775093,77.5093
514054822,9633607,0.775093,77.5093
514054816,9633607,0.775093,77.5093
514054798,9633607,0.776952,77.6952
514252782,9633607,0.877323,87.7323
482679745,9633607,0.873606,87.3606
416948801,9633607,0.877323,87.7323
402914238,9633607,0.875465,87.5465
322688187,9633607,0.888476,88.8476
294441962,9633607,0.864312,86.4312
41057570,9633607,0.724907,72.4907
400354852,9633607,0.819703,81.9703
359427494,9633607,0.866171,86.6171
353078721,9633607,0.907063,90.7063
38260414,9633607,0.871747,87.1747
38260410,9633607,0.864312,86.4312
38112399,9633607,0.864312,86.4312
38112395,9633607,0.873606,87.3606
156766565,9633607,0.881041,88.1041
156766545,9633607,0.881041,88.1041
156766537,9633607,0.881041,88.1041
156766533,9633607,0.881041,88.1041
156766529,9633607,0.877323,87.7323
156766505,9633607,0.881041,88.1041
149287217,9633607,0.873606,87.3606
21063917,9633607,0.873606,87.3606
21038821,9633607,0.873606,87.3606
241897474,9633607,0.879182,87.9182
32265024,9633607,0.892193,89.2193
18025358,9633607,0.817844,81.7844
47531122,9633607,0.890335,89.0335
204324151,9633607,0.715613,71.5613
195764992,9633607,0.715613,71.5613
KM052275,9633607,0.702602,70.2602
AY148187,9633607,0.747212,74.7212
M37899,9633607,0.888476,88.8476
KF214742,9633607,0.873606,87.3606
GQ411199,9633607,0.873606,87.3606
62857328,6136264,0.888889,88.8889
9633607,6136264,0.892193,89.2193
6136264,6136264,0,0
138873,6136264,0.238509,23.8509
237642071,6136264,0.857664,85.7664
71658847,6136264,0.889465,88.9465
18999349,6136264,0.820312,82.0312
338826805,6136264,0.895366,89.5366
550455635,6136264,0.886869,88.6869
422933778,6136264,0.882671,88.2671
56698740,6136264,0.882581,88.2581
33235706,6136264,0.883019,88.3019
23334622,6136264,0.89243,89.243
23334619,6136264,0.897887,89.7887
401715658,6136264,0.890789,89.0789
389617268,6136264,0.888073,88.8073
378941792,6136264,0.896811,89.6811
817524604,6136264,0.894646,89.4646
6136266,6136264,0.882569,88.2569
6136265,6136264,0.880734,88.0734
726965494,6136264,0.809309,80.9309
726965490,6136264,0.809309,80.9309
726965486,6136264,0.810811,81.0811
726965482,6136264,0.809309,80.9309
726965478,6136264,0.809309,80.9309
753220758,6136264,0.23641,23.641
208429852,6136264,0.240202,24.0202
34447098,6136264,0.878676,87.8676
23334612,6136264,0.891247,89.1247
698029512,6136264,0.878667,87.8667
672432742,6136264,0.810811,81.0811
672351302,6136264,0.809309,80.9309
302317864,6136264,0.896194,89.6194
283139266,6136264,0.812312,81.2312
229342012,6136264,0.248447,24.8447
212671461,6136264,0.883882,88.3882
182636909,6136264,0.894464,89.4464
166064279,6136264,0.892734,89.2734
164520995,6136264,0.896194,89.6194
92090662,6136264,0.889273,88.9273
22252953,6136264,0.803303,80.3303
601447521,6136264,0.885638,88.5638
557307522,6136264,0.891304,89.1304
544446249,6136264,0.812312,81.2312
514054828,6136264,0.888889,88.8889
514054822,6136264,0.888889,88.8889
514054816,6136264,0.888889,88.8889
514054798,6136264,0.888889,88.8889
514252782,6136264,0.821615,82.1615
482679745,6136264,0.809309,80.9309
416948801,6136264,0.812312,81.2312
402914238,6136264,0.813814,81.3814
322688187,6136264,0.239752,23.9752
294441962,6136264,0.810811,81.0811
41057570,6136264,0.878899,87.8899
400354852,6136264,0.880478,88.0478
359427494,6136264,0.810811,81.0811
353078721,6136264,0.882353,88.2353
38260414,6136264,0.810811,81.0811
38260410,6136264,0.810811,81.0811
38112399,6136264,0.812312,81.2312
38112395,6136264,0.810811,81.0811
156766565,6136264,0.233881,23.3881
156766545,6136264,0.235145,23.5145
156766537,6136264,0.245259,24.5259
156766533,6136264,0.235145,23.5145
156766529,6136264,0.235145,23.5145
156766505,6136264,0.231353,23.1353
149287217,6136264,0.812312,81.2312
21063917,6136264,0.229508,22.9508
21038821,6136264,0.810811,81.0811
241897474,6136264,0.235145,23.5145
32265024,6136264,0.036709,3.6709
18025358,6136264,0.892573,89.2573
47531122,6136264,0.022785,2.2785
204324151,6136264,0.874648,87.4648
195764992,6136264,0.873239,87.3239
KM052275,6136264,0.895575,89.5575
AY148187,6136264,0.888252,88.8252
M37899,6136264,0.231061,23.1061
KF214742,6136264,0.812312,81.2312
GQ411199,6136264,0.806306,80.6306
62857328,138873,0.899306,89.9306
9633607,138873,0.888476,88.8476
6136264,138873,0.238509,23.8509
138873,138873,0,0
237642071,138873,0.864964,86.4964
71658847,138873,0.88601,88.601
18999349,138873,0.825521,82.5521
338826805,138873,0.889387,88.9387
550455635,138873,0.890909,89.0909
422933778,138873,0.889892,88.9892
56698740,138873,0.890323,89.0323
33235706,138873,0.875472,87.5472
23334622,138873,0.884462,88.4462
23334619,138873,0.885563,88.5563
401715658,138873,0.893421,89.3421
389617268,138873,0.889908,88.9908
378941792,138873,0.889306,88.9306
817524604,138873,0.889465,88.9465
6136266,138873,0.875229,87.5229
6136265,138873,0.889908,88.9908
726965494,138873,0.818318,81.8318
726965490,138873,0.818318,81.8318
726965486,138873,0.807808,80.7808
726965482,138873,0.818318,81.8318
726965478,138873,0.818318,81.8318
753220758,138873,0.175727,17.5727
208429852,138873,0.064475,6.4475
34447098,138873,0.880515,88.0515
23334612,138873,0.88992,88.992
698029512,138873,0.885333,88.5333
672432742,138873,0.81982,81.982
672351302,138873,0.818318,81.8318
302317864,138873,0.878893,87.8893
283139266,138873,0.816817,81.6817
229342012,138873,0.061249,6.1249
212671461,138873,0.889081,88.9081
182636909,138873,0.878893,87.8893
166064279,138873,0.877163,87.7163
164520995,138873,0.880623,88.0623
92090662,138873,0.887543,88.7543
22252953,138873,0.813814,81.3814
601447521,138873,0.889628,88.9628
557307522,138873,0.88587,88.587
544446249,138873,0.81982,81.982
514054828,138873,0.895833,89.5833
514054822,138873,0.895833,89.5833
514054816,138873,0.895833,89.5833
514054798,138873,0.894097,89.4097
514252782,138873,0.822917,82.2917
482679745,138873,0.815315,81.5315
416948801,138873,0.816817,81.6817
402914238,138873,0.822823,82.2823
322688187,138873,0.010601,1.0601
294441962,138873,0.81982,81.982
41057570,138873,0.880734,88.0734
400354852,138873,0.883134,88.3134
359427494,138873,0.81982,81.982
353078721,138873,0.878893,87.8893
38260414,138873,0.81982,81.982
38260410,138873,0.818318,81.8318
38112399,138873,0.81982,81.982
38112395,138873,0.810811,81.0811
156766565,138873,0.05689,5.689
156766545,138873,0.060683,6.0683
156766537,138873,0.068268,6.8268
156766533,138873,0.059418,5.9418
156766529,138873,0.058154,5.8154
156766505,138873,0.05689,5.689
149287217,138873,0.81982,81.982
21063917,138873,0.099622,9.9622
21038821,138873,0.815315,81.5315
241897474,138873,0.059418,5.9418
32265024,138873,0.226582,22.6582
18025358,138873,0.88992,88.992
47531122,138873,0.227848,22.7848
204324151,138873,0.880282,88.0282
195764992,138873,0.878873,87.8873
KM052275,138873,0.900885,90.0885
AY148187,138873,0.883954,88.3954
M37899,138873,0,0
KF214742,138873,0.81982,81.982
GQ411199,138873,0.81982,81.982
62857328,237642071,0.768248,76.8248
9633607,237642071,0.732342,73.2342
6136264,237642071,0.857664,85.7664
138873,237642071,0.864964,86.4964
237642071,237642071,0,0
71658847,237642071,0.875912,87.5912
18999349,237642071,0.864964,86.4964
338826805,237642071,0.797445,79.7445
550455635,237642071,0.820202,82.0202
422933778,237642071,0.523723,52.3723
56698740,237642071,0.790146,79.0146
33235706,237642071,0.745283,74.5283
23334622,237642071,0.817518,81.7518
23334619,237642071,0.770073,77.0073
401715658,237642071,0.821168,82.1168
389617268,237642071,0.530275,53.0275
378941792,237642071,0.763602,76.3602
817524604,237642071,0.737226,73.7226
6136266,237642071,0.517431,51.7431
6136265,237642071,0.517431,51.7431
726965494,237642071,0.863139,86.3139
726965490,237642071,0.863139,86.3139
726965486,237642071,0.859489,85.9489
726965482,237642071,0.864964,86.4964
726965478,237642071,0.863139,86.3139
753220758,237642071,0.864964,86.4964
208429852,237642071,0.872263,87.2263
34447098,237642071,0.520221,52.0221
23334612,237642071,0.821168,82.1168
698029512,237642071,0.815693,81.5693
672432742,237642071,0.863139,86.3139
672351302,237642071,0.868613,86.8613
302317864,237642071,0.892336,89.2336
283139266,237642071,0.863139,86.3139
229342012,237642071,0.866788,86.6788
212671461,237642071,0.874088,87.4088
182636909,237642071,0.892336,89.2336
166064279,237642071,0.910584,91.0584
164520995,237642071,0.881387,88.1387
92090662,237642071,0.870438,87.0438
22252953,237642071,0.866788,86.6788
601447521,237642071,0.813869,81.3869
557307522,237642071,0.757299,75.7299
544446249,237642071,0.864964,86.4964
514054828,237642071,0.766423,76.6423
514054822,237642071,0.766423,76.6423
514054816,237642071,0.768248,76.8248
514054798,237642071,0.768248,76.8248
514252782,237642071,0.866788,86.6788
482679745,237642071,0.868613,86.8613
416948801,237642071,0.866788,86.6788
402914238,237642071,0.864964,86.4964
322688187,237642071,0.859489,85.9489
294441962,237642071,0.863139,86.3139
41057570,237642071,0.513761,51.3761
400354852,237642071,0.812044,81.2044
359427494,237642071,0.863139,86.3139
353078721,237642071,0.881387,88.1387
38260414,237642071,0.863139,86.3139
38260410,237642071,0.868613,86.8613
38112399,237642071,0.863139,86.3139
38112395,237642071,0.868613,86.8613
156766565,237642071,0.861314,86.1314
156766545,237642071,0.857664,85.7664
156766537,237642071,0.861314,86.1314
156766533,237642071,0.861314,86.1314
156766529,237642071,0.861314,86.1314
156766505,237642071,0.863139,86.3139
149287217,237642071,0.866788,86.6788
21063917,237642071,0.872263,87.2263
21038821,237642071,0.864964,86.4964
241897474,237642071,0.859489,85.9489
32265024,237642071,0.864964,86.4964
18025358,237642071,0.819343,81.9343
47531122,237642071,0.859489,85.9489
204324151,237642071,0.755474,75.5474
195764992,237642071,0.759124,75.9124
KM052275,237642071,0.760949,76.0949
AY148187,237642071,0.788321,78.8321
M37899,237642071,0.864964,86.4964
KF214742,237642071,0.864964,86.4964
GQ411199,237642071,0.868613,86.8613
62857328,71658847,0.881944,88.1944
9633607,71658847,0.89777,89.777
6136264,71658847,0.889465,88.9465
138873,71658847,0.88601,88.601
237642071,71658847,0.875912,87.5912
71658847,71658847,0,0
18999349,71658847,0.868739,86.8739
338826805,71658847,0.899827,89.9827
550455635,71658847,0.890909,89.0909
422933778,71658847,0.895307,89.5307
56698740,71658847,0.894646,89.4646
33235706,71658847,0.879245,87.9245
23334622,71658847,0.899827,89.9827
23334619,71658847,0.890845,89.0845
401715658,71658847,0.906736,90.6736
389617268,71658847,0.893578,89.3578
378941792,71658847,0.893058,89.3058
817524604,71658847,0.889465,88.9465
6136266,71658847,0.891743,89.1743
6136265,71658847,0.893578,89.3578
726965494,71658847,0.868739,86.8739
726965490,71658847,0.867012,86.7012
726965486,71658847,0.867012,86.7012
726965482,71658847,0.867012,86.7012
726965478,71658847,0.868739,86.8739
753220758,71658847,0.887737,88.7737
208429852,71658847,0.889465,88.9465
34447098,71658847,0.897059,89.7059
23334612,71658847,0.8981,89.81
698029512,71658847,0.899827,89.9827
672432742,71658847,0.868739,86.8739
672351302,71658847,0.868739,86.8739
302317864,71658847,0.081315,8.1315
283139266,71658847,0.868739,86.8739
229342012,71658847,0.887737,88.7737
212671461,71658847,0.067591,6.7591
182636909,71658847,0.089965,8.9965
166064279,71658847,0.083045,8.3045
164520995,71658847,0.077855,7.7855
92090662,71658847,0.072664,7.2664
22252953,71658847,0.873921,87.3921
601447521,71658847,0.903282,90.3282
557307522,71658847,0.896739,89.6739
544446249,71658847,0.870466,87.0466
514054828,71658847,0.881944,88.1944
514054822,71658847,0.881944,88.1944
514054816,71658847,0.881944,88.1944
514054798,71658847,0.883681,88.3681
514252782,71658847,0.870466,87.0466
482679745,71658847,0.868739,86.8739
416948801,71658847,0.867012,86.7012
402914238,71658847,0.868739,86.8739
322688187,71658847,0.88601,88.601
294441962,71658847,0.868739,86.8739
41057570,71658847,0.900917,90.0917
400354852,71658847,0.906736,90.6736
359427494,71658847,0.870466,87.0466
353078721,71658847,0.079585,7.9585
38260414,71658847,0.868739,86.8739
38260410,71658847,0.867012,86.7012
38112399,71658847,0.868739,86.8739
38112395,71658847,0.868739,86.8739
156766565,71658847,0.891192,89.1192
156766545,71658847,0.882556,88.2556
156766537,71658847,0.896373,89.6373
156766533,71658847,0.891192,89.1192
156766529,71658847,0.891192,89.1192
156766505,71658847,0.891192,89.1192
149287217,71658847,0.868739,86.8739
21063917,71658847,0.889465,88.9465
21038821,71658847,0.868739,86.8739
241897474,71658847,0.880829,88.0829
32265024,71658847,0.891192,89.1192
18025358,71658847,0.8981,89.81
47531122,71658847,0.880829,88.0829
204324151,71658847,0.875648,87.5648
195764992,71658847,0.879102,87.9102
KM052275,71658847,0.892035,89.2035
AY148187,71658847,0.896373,89.6373
M37899,71658847,0.88601,88.601
KF214742,71658847,0.870466,87.0466
GQ411199,71658847,0.870466,87.0466
62857328,18999349,0.871528,87.1528
9633607,18999349,0.871747,87.1747
6136264,18999349,0.820312,82.0312
138873,18999349,0.825521,82.5521
237642071,18999349,0.864964,86.4964
71658847,18999349,0.868739,86.8739
18999349,18999349,0,0
338826805,18999349,0.887892,88.7892
550455635,18999349,0.892929,89.2929
422933778,18999349,0.875451,87.5451
56698740,18999349,0.878906,87.8906
33235706,18999349,0.869811,86.9811
23334622,18999349,0.89907,89.907
23334619,18999349,0.894366,89.4366
401715658,18999349,0.890789,89.0789
389617268,18999349,0.873394,87.3394
378941792,18999349,0.868668,86.8668
817524604,18999349,0.867012,86.7012
6136266,18999349,0.880734,88.0734
6136265,18999349,0.86422,86.422
726965494,18999349,0.01952,1.952
726965490,18999349,0.021021,2.1021
726965486,18999349,0.015015,1.5015
726965482,18999349,0.012012,1.2012
726965478,18999349,0.010511,1.0511
753220758,18999349,0.828125,82.8125
208429852,18999349,0.832031,83.2031
34447098,18999349,0.865809,86.5809
23334612,18999349,0.883289,88.3289
698029512,18999349,0.894667,89.4667
672432742,18999349,0.006006,0.6006
672351302,18999349,0.007508,0.7508
302317864,18999349,0.863322,86.3322
283139266,18999349,0.03003,3.003
229342012,18999349,0.829427,82.9427
212671461,18999349,0.868284,86.8284
182636909,18999349,0.865052,86.5052
166064279,18999349,0.868512,86.8512
164520995,18999349,0.863322,86.3322
92090662,18999349,0.858131,85.8131
22252953,18999349,0.078078,7.8078
601447521,18999349,0.881649,88.1649
557307522,18999349,0.894928,89.4928
544446249,18999349,0.01952,1.952
514054828,18999349,0.871528,87.1528
514054822,18999349,0.873264,87.3264
514054816,18999349,0.873264,87.3264
514054798,18999349,0.873264,87.3264
514252782,18999349,0.041667,4.1667
482679745,18999349,0.036036,3.6036
416948801,18999349,0.016517,1.6517
402914238,18999349,0.009009,0.9009
322688187,18999349,0.824219,82.4219
294441962,18999349,0.004505,0.4505
41057570,18999349,0.873394,87.3394
400354852,18999349,0.877822,87.7822
359427494,18999349,0.010511,1.0511
353078721,18999349,0.865052,86.5052
38260414,18999349,0.006006,0.6006
38260410,18999349,0.031532,3.1532
38112399,18999349,0.006006,0.6006
38112395,18999349,0.033033,3.3033
156766565,18999349,0.830729,83.0729
156766545,18999349,0.829427,82.9427
156766537,18999349,0.830729,83.0729
156766533,18999349,0.830729,83.0729
156766529,18999349,0.830729,83.0729
156766505,18999349,0.830729,83.0729
149287217,18999349,0.007508,0.7508
21063917,18999349,0.833333,83.3333
21038821,18999349,0.036036,3.6036
241897474,18999349,0.829427,82.9427
32265024,18999349,0.822917,82.2917
18025358,18999349,0.883289,88.3289
47531122,18999349,0.824219,82.4219
204324151,18999349,0.88169,88.169
195764992,18999349,0.878873,87.8873
KM052275,18999349,0.872566,87.2566
AY148187,18999349,0.885387,88.5387
M37899,18999349,0.828125,82.8125
KF214742,18999349,0.01952,1.952
GQ411199,18999349,0.081081,8.1081
62857328,338826805,0.842014,84.2014
9633607,338826805,0.795539,79.5539
6136264,338826805,0.895366,89.5366
138873,338826805,0.889387,88.9387
237642071,338826805,0.797445,79.7445
71658847,338826805,0.899827,89.9827
18999349,338826805,0.887892,88.7892
338826805,338826805,0,0
550455635,338826805,0.832323,83.2323
422933778,338826805,0.788809,78.8809
56698740,338826805,0.704036,70.4036
33235706,338826805,0.766038,76.6038
23334622,338826805,0.718984,71.8984
23334619,338826805,0.834507,83.4507
401715658,338826805,0.724963,72.4963
389617268,338826805,0.787156,78.7156
378941792,338826805,0.761726,76.1726
817524604,338826805,0.773748,77.3748
6136266,338826805,0.785321,78.5321
6136265,338826805,0.790826,79.0826
726965494,338826805,0.882883,88.2883
726965490,338826805,0.884384,88.4384
726965486,338826805,0.884384,88.4384
726965482,338826805,0.882883,88.2883
726965478,338826805,0.884384,88.4384
753220758,338826805,0.887892,88.7892
208429852,338826805,0.87145,87.145
34447098,338826805,0.794118,79.4118
23334612,338826805,0.721973,72.1973
698029512,338826805,0.717489,71.7489
672432742,338826805,0.885886,88.5886
672351302,338826805,0.885886,88.5886
302317864,338826805,0.894464,89.4464
283139266,338826805,0.885886,88.5886
229342012,338826805,0.890882,89.0882
212671461,338826805,0.901213,90.1213
182636909,338826805,0.897924,89.7924
166064279,338826805,0.903114,90.3114
164520995,338826805,0.889273,88.9273
92090662,338826805,0.908304,90.8304
22252953,338826805,0.89039,89.039
601447521,338826805,0.729447,72.9447
557307522,338826805,0.871377,87.1377
544446249,338826805,0.885886,88.5886
514054828,338826805,0.842014,84.2014
514054822,338826805,0.842014,84.2014
514054816,338826805,0.842014,84.2014
514054798,338826805,0.84375,84.375
514252782,338826805,0.886398,88.6398
482679745,338826805,0.884384,88.4384
416948801,338826805,0.884384,88.4384
402914238,338826805,0.885886,88.5886
322688187,338826805,0.890882,89.0882
294441962,338826805,0.885886,88.5886
41057570,338826805,0.785321,78.5321
400354852,338826805,0.717489,71.7489
359427494,338826805,0.885886,88.5886
353078721,338826805,0.896194,89.6194
38260414,338826805,0.885886,88.5886
38260410,338826805,0.884384,88.4384
38112399,338826805,0.885886,88.5886
38112395,338826805,0.885886,88.5886
156766565,338826805,0.87145,87.145
156766545,338826805,0.872945,87.2945
156766537,338826805,0.875934,87.5934
156766533,338826805,0.872945,87.2945
156766529,338826805,0.87145,87.145
156766505,338826805,0.87145,87.145
149287217,338826805,0.885886,88.5886
21063917,338826805,0.896861,89.6861
21038821,338826805,0.884384,88.4384
241897474,338826805,0.872945,87.2945
32265024,338826805,0.890882,89.0882
18025358,338826805,0.721973,72.1973
47531122,338826805,0.893871,89.3871
204324151,338826805,0.834081,83.4081
195764992,338826805,0.832586,83.2586
KM052275,338826805,0.79646,79.646
AY148187,338826805,0.814649,81.4649
M37899,338826805,0.889387,88.9387
KF214742,338826805,0.885886,88.5886
GQ411199,338826805,0.885886,88.5886
62857328,550455635,0.846465,84.6465
9633607,550455635,0.832323,83.2323
6136264,550455635,0.886869,88.6869
138873,550455635,0.890909,89.0909
237642071,550455635,0.820202,82.0202
71658847,550455635,0.890909,89.0909
18999349,550455635,0.892929,89.2929
338826805,550455635,0.832323,83.2323
550455635,550455635,0,0
422933778,550455635,0.832323,83.2323
56698740,550455635,0.832323,83.2323
33235706,550455635,0.826263,82.6263
23334622,550455635,0.840404,84.0404
23334619,550455635,0.820202,82.0202
401715658,550455635,0.820202,82.0202
389617268,550455635,0.836364,83.6364
378941792,550455635,0.832323,83.2323
817524604,550455635,0.8,80
6136266,550455635,0.832323,83.2323
6136265,550455635,0.830303,83.0303
726965494,550455635,0.886869,88.6869
726965490,550455635,0.882828,88.2828
726965486,550455635,0.880808,88.0808
726965482,550455635,0.888889,88.8889
726965478,550455635,0.876768,87.6768
753220758,550455635,0.880808,88.0808
208429852,550455635,0.888889,88.8889
34447098,550455635,0.834343,83.4343
23334612,550455635,0.828283,82.8283
698029512,550455635,0.822222,82.2222
672432742,550455635,0.888889,88.8889
672351302,550455635,0.888889,88.8889
302317864,550455635,0.894949,89.4949
283139266,550455635,0.882828,88.2828
229342012,550455635,0.890909,89.0909
212671461,550455635,0.884848,88.4848
182636909,550455635,0.892929,89.2929
166064279,550455635,0.892929,89.2929
164520995,550455635,0.892929,89.2929
92090662,550455635,0.89697,89.697
22252953,550455635,0.878788,87.8788
601447521,550455635,0.820202,82.0202
557307522,550455635,0.836364,83.6364
544446249,550455635,0.892929,89.2929
514054828,550455635,0.844444,84.4444
514054822,550455635,0.844444,84.4444
514054816,550455635,0.844444,84.4444
514054798,550455635,0.846465,84.6465
514252782,550455635,0.880808,88.0808
482679745,550455635,0.880808,88.0808
416948801,550455635,0.888889,88.8889
402914238,550455635,0.878788,87.8788
322688187,550455635,0.888889,88.8889
294441962,550455635,0.888889,88.8889
41057570,550455635,0.832323,83.2323
400354852,550455635,0.826263,82.6263
359427494,550455635,0.886869,88.6869
353078721,550455635,0.890909,89.0909
38260414,550455635,0.888889,88.8889
38260410,550455635,0.880808,88.0808
38112399,550455635,0.882828,88.2828
38112395,550455635,0.880808,88.0808
156766565,550455635,0.890909,89.0909
156766545,550455635,0.890909,89.0909
156766537,550455635,0.892929,89.2929
156766533,550455635,0.890909,89.0909
156766529,550455635,0.890909,89.0909
156766505,550455635,0.890909,89.0909
149287217,550455635,0.878788,87.8788
21063917,550455635,0.884848,88.4848
21038821,550455635,0.882828,88.2828
241897474,550455635,0.890909,89.0909
32265024,550455635,0.890909,89.0909
18025358,550455635,0.830303,83.0303
47531122,550455635,0.888889,88.8889
204324151,550455635,0.820202,82.0202
195764992,550455635,0.822222,82.2222
KM052275,550455635,0.80202,80.202
AY148187,550455635,0.838384,83.8384
M37899,550455635,0.888889,88.8889
KF214742,550455635,0.892929,89.2929
GQ411199,550455635,0.880808,88.0808
62857328,422933778,0.768953,76.8953
9633607,422933778,0.72119,72.119
6136264,422933778,0.882671,88.2671
138873,422933778,0.889892,88.9892
237642071,422933778,0.523723,52.3723
71658847,422933778,0.895307,89.5307
18999349,422933778,0.875451,87.5451
338826805,422933778,0.788809,78.8809
550455635,422933778,0.832323,83.2323
422933778,422933778,0,0
56698740,422933778,0.788809,78.8809
33235706,422933778,0.741509,74.1509
23334622,422933778,0.808664,80.8664
23334619,422933778,0.783394,78.3394
401715658,422933778,0.808664,80.8664
389617268,422933778,0.122936,12.2936
378941792,422933778,0.733583,73.3583
817524604,422933778,0.725632,72.5632
6136266,422933778,0.023853,2.3853
6136265,422933778,0.077064,7.7064
726965494,422933778,0.880866,88.0866
726965490,422933778,0.875451,87.5451
726965486,422933778,0.879061,87.9061
726965482,422933778,0.871841,87.1841
726965478,422933778,0.871841,87.1841
753220758,422933778,0.895307,89.5307
208429852,422933778,0.891697,89.1697
34447098,422933778,0.075368,7.5368
23334612,422933778,0.801444,80.1444
698029512,422933778,0.806859,80.6859
672432742,422933778,0.879061,87.9061
672351302,422933778,0.879061,87.9061
302317864,422933778,0.902527,90.2527
283139266,422933778,0.875451,87.5451
229342012,422933778,0.895307,89.5307
212671461,422933778,0.904332,90.4332
182636909,422933778,0.900722,90.0722
166064279,422933778,0.900722,90.0722
164520995,422933778,0.902527,90.2527
92090662,422933778,0.889892,88.9892
22252953,422933778,0.875451,87.5451
601447521,422933778,0.805054,80.5054
557307522,422933778,0.786232,78.6232
544446249,422933778,0.884477,88.4477
514054828,422933778,0.768953,76.8953
514054822,422933778,0.768953,76.8953
514054816,422933778,0.768953,76.8953
